country,country_population,id,province,confirmed,deaths,recovered,latitude,longitude,deaths/population (%),confirmed/population (%),deaths/confirmed (%)
Honduras,7989415.0,128,,397,25,0,15.2,-86.2419,0.00031291402436849254,0.004969074706971661,6.297229219143577
Hungary,9982000.0,129,,1458,109,0,47.1625,19.5033,0.001091965537968343,0.014606291324383892,7.475994513031551
Iceland,308910.0,130,,1711,8,0,64.9631,-19.0208,0.00258975106017934,0.5538830079958564,0.46756282875511396
India,1173108018.0,131,,10453,358,0,21.0,78.0,3.0517223862329786e-05,0.0008910517905947856,3.424854108868267
Indonesia,242968342.0,132,,4557,399,0,-0.7893,113.9213,0.00016421892527875094,0.0018755529887099448,8.755760368663594
Iran,76923300.0,133,,73303,4585,0,32.0,53.0,0.005960482714600128,0.09529362364849142,6.254859964803623
Iraq,29671605.0,134,,1378,78,0,33.0,44.0,0.00026287758953383214,0.004644170748431034,5.660377358490567
Ireland,4622917.0,135,,10647,365,0,53.1424,-7.6921,0.007895447830882536,0.23030913165864755,3.4281957358880435
Israel,7353985.0,136,,11586,116,0,31.0,35.0,0.0015773760756922948,0.15754723459457695,1.0012083549110995
Italy,60340328.0,137,,159516,20465,0,43.0,12.0,0.03391595750026417,0.2643605119282746,12.829434037964843
Jamaica,2847232.0,138,,73,4,0,18.1096,-77.2975,0.00014048732242402445,0.0025638936342384463,5.47945205479452
Japan,127288000.0,139,,7370,123,0,36.0,138.0,9.663126139149015e-05,0.00579001948337628,1.6689280868385348
Jordan,6407085.0,140,,391,7,0,31.24,36.51,0.00010925405234985956,0.0061026192098278705,1.7902813299232736
Kazakhstan,15340000.0,141,,1091,12,0,48.0196,66.9237,7.822685788787484e-05,0.007112125162972621,1.0999083409715857
Kenya,40046566.0,142,,208,9,0,-0.0236,37.9062,2.2473837082560338e-05,0.0005193953459080612,4.326923076923077
"Korea, South",48422644.0,143,,10537,217,0,36.0,128.0,0.00044813744577846675,0.021760480489252096,2.0594096991553577
Kuwait,2789132.0,144,,1300,2,0,29.5,47.75,7.170689662590369e-05,0.046609482806837396,0.15384615384615385
Kyrgyzstan,5776500.0,145,,419,5,0,41.2044,74.7661,8.655760408551892e-05,0.007253527222366485,1.1933174224343674
Latvia,2217969.0,146,,655,5,0,56.8796,24.6032,0.0002254314645515785,0.029531521856256782,0.7633587786259541
Lebanon,4125247.0,147,,632,20,0,33.8547,35.8623,0.00048481945444721255,0.015320294760531915,3.1645569620253164
Liberia,3685076.0,148,,59,6,0,6.4281,-9.4295,0.00016281889437287048,0.0016010524613332261,10.16949152542373
Liechtenstein,35000.0,149,,79,1,0,47.14,9.55,0.002857142857142857,0.22571428571428573,1.2658227848101267
Lithuania,2944459.0,150,,1062,24,0,55.1694,23.8813,0.0008150903103082773,0.03606774623114127,2.2598870056497176
Luxembourg,497538.0,151,,3292,69,0,49.8153,6.1296,0.013868287447390954,0.6616580040117539,2.0959902794653704
Madagascar,21281844.0,152,,106,0,0,-18.7669,46.8691,0.0,0.0004980771403079545,0.0
Malaysia,28274729.0,153,,4817,77,0,2.5,112.5,0.0002723279858844978,0.017036414389683452,1.5985052937512976
Maldives,395650.0,154,,20,0,0,3.2028,73.2207,0.0,0.005054972829521042,0.0
Malta,403000.0,155,,384,3,0,35.9375,14.3754,0.0007444168734491315,0.09528535980148883,0.78125
Mauritania,3205060.0,156,,7,1,0,21.0079,10.9408,3.120066395012886e-05,0.000218404647650902,14.285714285714285
Mauritius,1294104.0,157,,324,9,0,-20.2,57.5,0.000695461879416183,0.02503662765898259,2.7777777777777777
Mexico,112468855.0,158,,4661,296,0,23.6345,-102.5528,0.0002631839721316626,0.0041442584260327,6.350568547521991
Moldova,4324000.0,159,,1712,35,0,47.4116,28.3699,0.0008094357076780759,0.03959296947271045,2.0443925233644857
Monaco,32965.0,160,,93,1,0,43.7333,7.4167,0.003033520400424693,0.2821173972394964,1.0752688172043012
Mongolia,3086918.0,161,,17,0,0,46.8625,103.8467,0.0,0.0005507110976060912,0.0
Montenegro,666730.0,162,,274,3,0,42.5,19.3,0.0004499572540608642,0.04109609587089227,1.094890510948905
Morocco,33848242.0,163,,1763,126,0,31.7917,-7.0926,0.0003722497611545084,0.005208542292979352,7.146908678389109
Namibia,2128471.0,164,,16,0,0,-22.9576,18.4904,0.0,0.0007517133190914981,0.0
Nepal,28951852.0,165,,14,0,0,28.1667,84.25,0.0,4.835614661196803e-05,0.0
Netherlands,16645000.0,166,Aruba,92,0,0,12.5186,-70.0358,0.0,0.0005527185340943226,0.0
Netherlands,16645000.0,167,Curacao,14,1,0,12.1696,-68.99,6.007810153199159e-06,8.410934214478823e-05,7.142857142857142
Netherlands,16645000.0,168,Sint Maarten,50,9,0,18.0425,-63.0548,5.407029137879243e-05,0.00030039050765995795,18.0
Netherlands,16645000.0,169,,26551,2823,0,52.1326,5.2913,0.016960048062481223,0.15951336737759086,10.632367895747805
New Zealand,4252277.0,170,,1349,5,0,-40.9006,174.886,0.00011758406143343908,0.031724179774741866,0.37064492216456635
Nicaragua,5995928.0,171,,9,1,0,12.8654,-85.2072,1.667798545946516e-05,0.0001501018691351864,11.11111111111111
Niger,15878271.0,172,,529,12,0,17.6078,8.0817,7.557497916492292e-05,0.003331596998187019,2.2684310018903595
Nigeria,154000000.0,173,,343,10,0,9.082,8.6753,6.493506493506494e-06,0.00022272727272727274,2.9154518950437316
North Macedonia,2062294.0,174,,854,38,0,41.6086,21.7453,0.0018426082799057747,0.04141019660630346,4.449648711943794
Norway,5009150.0,175,,6603,134,0,60.472,8.4689,0.0026751045586576564,0.13181877164788436,2.029380584582765
Oman,2967717.0,176,,727,4,0,21.0,57.0,0.00013478374117208616,0.024496944958026658,0.5502063273727648
Pakistan,184404791.0,177,,5496,93,0,30.3753,69.3451,5.0432529163518316e-05,0.002980399787985986,1.6921397379912666
Panama,3410676.0,178,,3400,87,0,8.538,-80.7821,0.002550813973534865,0.09968698287377634,2.558823529411765
Papua New Guinea,6064515.0,179,,2,0,0,-6.315,143.9555,0.0,3.297872954391241e-05,0.0
Paraguay,6375830.0,180,,147,6,0,-23.4425,-58.4438,9.410539490544761e-05,0.0023055821751834663,4.081632653061225
Peru,29907003.0,181,,9784,216,0,-9.19,-75.0152,0.0007222388682677431,0.0327147457737574,2.2076860179885527
Philippines,99900177.0,182,,4932,315,0,13.0,122.0,0.0003153147566495302,0.004936928189826931,6.386861313868613
Poland,38500000.0,183,,6934,245,0,51.9194,19.1451,0.0006363636363636363,0.018010389610389612,3.533314104413037
Portugal,10676000.0,184,,16934,535,0,39.3999,-8.2245,0.005011240164855751,0.1586174597227426,3.1593244360458255
Qatar,840926.0,185,,3231,7,0,25.3548,51.1839,0.0008324156941276641,0.3842193011037832,0.2166511915815537
Romania,21959278.0,186,,6633,331,0,45.9432,24.9668,0.0015073355326163274,0.030205911141522962,4.990200512588572
Russia,140702000.0,187,,18328,148,0,60.0,90.0,0.00010518684880101207,0.013026111924492899,0.8075076385857703
Rwanda,11055976.0,188,,127,0,0,-1.9403,29.8739,0.0,0.0011487000333575254,0.0
Saint Lucia,160922.0,189,,15,0,0,13.9094,-60.9789,0.0,0.009321286088912641,0.0
Saint Vincent and the Grenadines,104217.0,190,,12,0,0,12.9843,-61.2872,0.0,0.011514436224416362,0.0
San Marino,31477.0,191,,356,35,0,43.9424,12.4578,0.11119229913905392,1.1309845283858055,9.831460674157304
Saudi Arabia,25731776.0,192,,4934,65,0,24.0,45.0,0.00025260596081669605,0.019174735548762742,1.31738954195379
Senegal,12323252.0,193,,291,2,0,14.4974,-14.4524,1.6229482282761077e-05,0.0023613896721417366,0.6872852233676976
Serbia,7344847.0,194,,4054,85,0,44.0165,21.0059,0.0011572739364073886,0.05519515927288887,2.096694622594968
Seychelles,88340.0,195,,11,0,0,-4.6796,55.492,0.0,0.012451890423364274,0.0
Singapore,4701069.0,196,,2918,9,0,1.2833,103.8333,0.0001914458179618295,0.0620709885347354,0.3084304318026045
Slovakia,5455000.0,197,,769,2,0,48.669,19.699,3.666361136571952e-05,0.014097158570119155,0.26007802340702213
Slovenia,2007000.0,198,,1212,55,0,46.1512,14.9955,0.0027404085700049826,0.06038863976083707,4.537953795379538
Somalia,10112453.0,199,,60,2,0,5.1521,46.1996,1.9777595010824774e-05,0.0005933278503247432,3.3333333333333335
South Africa,49000000.0,200,,2272,27,0,-30.5595,22.9375,5.510204081632653e-05,0.004636734693877551,1.1883802816901408
Spain,46505963.0,201,,170099,17756,0,40.0,-4.0,0.038180050158299055,0.36575739760512005,10.438626917265829
Sri Lanka,21513990.0,202,,217,7,0,7.0,81.0,3.2536967805599985e-05,0.0010086460019735994,3.225806451612903
Sudan,35000000.0,203,,29,4,0,12.8628,30.2176,1.1428571428571429e-05,8.285714285714286e-05,13.793103448275861
Suriname,492829.0,204,,10,1,0,3.9193,-56.0278,0.00020291013718754376,0.0020291013718754377,10.0
Sweden,9828655.0,205,,10948,919,0,63.0,16.0,0.009350211193698426,0.11138858775692095,8.394227256119839
Switzerland,8484100.0,206,,25688,1138,0,46.8182,8.2275,0.013413326104124186,0.3027781379285958,4.430084085954531
Taiwan*,22894384.0,207,,393,6,0,23.7,121.0,2.6207300445384332e-05,0.001716578179172674,1.5267175572519083
Tanzania,41892895.0,208,,49,3,0,-6.369,34.8888,7.1611188484347995e-06,0.00011696494119110174,6.122448979591836
Thailand,67089500.0,209,,2579,40,0,15.0,101.0,5.962184842635583e-05,0.003844118677289293,1.5509887553315238
Togo,6587239.0,210,,77,3,0,8.6195,0.8248,4.5542601384282554e-05,0.001168926768863252,3.896103896103896
Trinidad and Tobago,1328019.0,211,,113,8,0,10.6918,-61.2225,0.0006024010198649266,0.008508914405592089,7.079646017699115
Tunisia,10589025.0,212,,726,34,0,34.0,9.0,0.0003210871633601772,0.006856155311749665,4.683195592286501
Turkey,77804122.0,213,,61049,1296,0,38.9637,35.2433,0.0016657215153716408,0.07846499443821242,2.122884895739488
Uganda,33398682.0,214,,54,0,0,1.0,32.0,0.0,0.00016168302689309715,0.0
Ukraine,45415596.0,215,,3102,93,0,48.3794,31.1656,0.00020477546964263113,0.006830252761628406,2.998065764023211
United Arab Emirates,4975593.0,216,,4521,25,0,24.0,54.0,0.0005024526724754215,0.09086354129045524,0.5529750055297501
United Kingdom,62348447.0,217,Bermuda,57,5,0,32.3078,-64.7505,8.019445937442514e-06,9.142168368684468e-05,8.771929824561402
United Kingdom,62348447.0,218,Cayman Islands,53,1,0,19.3133,-81.2546,1.6038891874885032e-06,8.500612693689066e-05,1.8867924528301887
United Kingdom,62348447.0,219,Channel Islands,436,9,0,49.3723,-2.3644,1.4435002687396529e-05,0.0006992956857449874,2.064220183486239
United Kingdom,62348447.0,220,Gibraltar,129,0,0,36.1408,-5.3536,0.0,0.0002069017051860169,0.0
United Kingdom,62348447.0,221,Isle of Man,242,2,0,54.2361,-4.5481,3.2077783749770065e-06,0.00038814118337221774,0.8264462809917356
United Kingdom,62348447.0,222,Montserrat,11,0,0,16.7425,-62.1874,0.0,1.7642781062373532e-05,0.0
United Kingdom,62348447.0,223,,88621,11329,0,55.3781,-3.4360000000000004,0.018170460605057254,0.14213826368441865,12.7836517304025
Uruguay,3477000.0,224,,480,8,0,-32.5228,-55.7658,0.00023008340523439746,0.013805004314063849,1.6666666666666667
US,310232863.0,225,,580619,23529,0,37.0902,-95.7129,0.007584302891857075,0.18715586556025177,4.052399249766197
Uzbekistan,27865738.0,226,,998,4,0,41.3775,64.5853,1.4354545356021074e-05,0.0035814590663272583,0.4008016032064128
Venezuela,27223228.0,227,,189,9,0,6.4238,-66.5897,3.306000302388828e-05,0.0006942600635016538,4.761904761904762
Vietnam,89571130.0,228,,265,0,0,16.0,108.0,0.0,0.00029585425571833243,0.0
Zambia,13460305.0,229,,45,2,0,-15.4167,28.2833,1.4858504320667325e-05,0.0003343163472150148,4.444444444444445
Zimbabwe,13061000.0,230,,17,3,0,-20.0,30.0,2.2969144782175943e-05,0.000130158487098997,17.647058823529413
Canada,33679000.0,231,Diamond Princess,-1,-1,0,0.0,0.0,-2.969209299563526e-06,-2.969209299563526e-06,100.0
Dominica,72813.0,232,,16,0,0,15.415,-61.371,0.0,0.021974098031944847,0.0
Grenada,107818.0,233,,14,0,0,12.1165,-61.678999999999995,0.0,0.012984844831104268,0.0
Mozambique,22061451.0,234,,21,0,0,-18.665695,35.529562,0.0,9.518866188810518e-05,0.0
Syria,22198110.0,235,,25,2,0,34.802075,38.99681500000001,9.009776057511203e-06,0.00011262220071889002,8.0
Timor-Leste,1154625.0,236,,4,0,0,-8.874217,125.727539,0.0,0.0003464328245101223,0.0
Belize,314522.0,237,,18,2,0,13.1939,-59.5432,0.0006358855660335365,0.005722970094301829,11.11111111111111
Canada,33679000.0,238,Recovered,0,0,0,0.0,0.0,0.0,0.0,
Laos,6368162.0,239,,19,0,0,19.856270000000002,102.495496,0.0,0.00029835924400164446,0.0
Libya,6461454.0,240,,26,1,0,26.3351,17.228331,1.5476392774753174e-05,0.00040238621214358256,3.8461538461538463
West Bank and Gaza,3800000.0,241,,308,2,0,31.9522,35.2332,5.263157894736842e-05,0.008105263157894737,0.6493506493506493
Guinea-Bissau,1565126.0,242,,38,0,0,11.8037,-15.1804,0.0,0.002427919541302106,0.0
Mali,13796354.0,243,,123,10,0,17.570692,-3.996166000000001,7.248291831305575e-05,0.0008915398952505858,8.130081300813007
Saint Kitts and Nevis,51134.0,244,,12,0,0,17.357822,-62.782998,0.0,0.023467751398286853,0.0
Canada,33679000.0,245,Northwest Territories,5,0,0,64.8255,-124.8457,0.0,1.4846046497817632e-05,0.0
Canada,33679000.0,246,Yukon,8,0,0,64.2823,-135.0,0.0,2.375367439650821e-05,0.0
Kosovo,1800000.0,247,,283,7,0,42.602636,20.902977,0.00038888888888888887,0.01572222222222222,2.4734982332155475
Burma,53414374.0,248,,62,4,0,21.9162,95.956,7.488620946863478e-06,0.00011607362467638393,6.451612903225806
United Kingdom,62348447.0,249,Anguilla,3,0,0,18.2206,-63.0686,0.0,4.81166756246551e-06,0.0
United Kingdom,62348447.0,250,British Virgin Islands,3,0,0,18.4207,-64.64,0.0,4.81166756246551e-06,0.0
United Kingdom,62348447.0,251,Turks and Caicos Islands,10,1,0,21.69400000000001,-71.7979,1.6038891874885032e-06,1.603889187488503e-05,10.0
MS Zaandam,,252,,9,2,0,0.0,0.0,,,22.22222222222222
Botswana,2029307.0,253,,13,1,0,-22.3285,24.6849,4.927790620147666e-05,0.0006406127806191966,7.6923076923076925
Burundi,9863117.0,254,,5,1,0,-3.3731,29.9189,1.0138782699221757e-05,5.069391349610879e-05,20.0
Sierra Leone,5245695.0,255,,10,0,0,8.460555000000001,-11.779889,0.0,0.0001906325091336801,0.0
Netherlands,16645000.0,256,"Bonaire, Sint Eustatius and Saba",3,0,0,12.1784,-68.2385,0.0,1.8023430459597478e-05,0.0
Malawi,17563749.0,257,,16,2,0,-13.254307999999998,34.301525,1.1387090535169911e-05,9.109672428135929e-05,12.5
United Kingdom,62348447.0,258,Falkland Islands (Malvinas),5,0,0,-51.7963,-59.5236,0.0,8.019445937442514e-06,0.0
France,64768389.0,259,Saint Pierre and Miquelon,1,0,0,46.8852,-56.3159,0.0,1.5439630588928187e-06,0.0
South Sudan,8260490.0,260,,4,0,0,6.8770000000000024,31.307,0.0,4.842327755375286e-05,0.0
Western Sahara,273008.0,261,,6,0,0,24.2155,-12.8858,0.0,0.002197737795229444,0.0
Sao Tome and Principe,197700.0,262,,4,0,0,0.18636,6.613081,0.0,0.002023267577137076,0.0
Yemen,23495361.0,263,,1,0,0,15.552726999999999,48.516388,0.0,4.256159332899801e-06,0.0
